,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
55,2021-02-15 13:50:24.311,0.010179,2.507585,9.681118,0.009126,0.019727,-0.011881,-19.763712,-4.953129,-41.674011,-89.875092,-14.488914,-0.217905,Sitting
56,2021-02-15 13:50:24.361,-0.007634,2.451153,9.611064,-0.011632,-0.006958,-0.017781,-19.812401,-4.912455,-41.691193,-89.887509,-14.493857,-0.190007,Sitting
57,2021-02-15 13:50:24.411,-0.010778,2.485581,9.662856,0.012083,0.001032,-0.010836,-19.598726,-5.06288,-41.842682,-89.876523,-14.490693,-0.208104,Sitting
58,2021-02-15 13:50:24.462,0.039368,2.488126,9.640253,0.014476,0.005446,0.002273,-19.73378,-4.883776,-41.856812,-89.848066,-14.486935,-0.215071,Sitting
59,2021-02-15 13:50:24.512,0.017065,2.511028,9.750424,0.035941,0.012767,0.003304,-19.721992,-4.92054,-41.812469,-89.872211,-14.494604,-0.232602,Sitting
60,2021-02-15 13:50:24.562,0.013921,2.458038,9.582773,0.027947,-0.004275,0.003178,-19.885019,-5.006155,-41.627197,-89.898725,-14.53484,-0.21325,Sitting
61,2021-02-15 13:50:24.612,0.084574,2.530787,9.572294,-0.003998,0.012304,-0.015813,-19.920118,-4.957962,-41.874329,-89.942966,-14.633411,-0.225526,Sitting
62,2021-02-15 13:50:24.662,-0.035177,2.563719,9.700428,0.02781,0.015195,-0.009291,-19.761192,-4.917974,-41.809479,-89.950095,-14.595987,-0.265556,Sitting
63,2021-02-15 13:50:24.713,0.009879,2.564018,9.573043,0.007476,-0.012144,-0.003518,-19.721071,-5.02244,-41.820618,-89.945806,-14.631796,-0.231818,Sitting
64,2021-02-15 13:50:24.763,0.114512,2.479893,9.628577,0.018644,0.009003,-0.02019,-19.62888,-5.324018,-41.852417,-89.970959,-14.682317,-0.274745,Sitting
65,2021-02-15 13:50:24.813,0.04326,2.535128,9.600436,0.004114,-0.001335,0.000131,-19.803106,-5.14333,-41.916595,-89.929486,-14.715154,-0.255918,Sitting
66,2021-02-15 13:50:24.863,0.146845,2.483635,9.619297,0.018987,0.007517,-0.025608,-19.657202,-5.075087,-41.905212,-89.957768,-14.725672,-0.275223,Sitting
67,2021-02-15 13:50:24.913,0.025148,2.569407,9.575587,-0.003064,0.003404,-0.009338,-19.758995,-5.091888,-41.787842,-89.968604,-14.748826,-0.295631,Sitting
68,2021-02-15 13:50:24.964,-0.00479,2.531835,9.739197,0.030799,0.005707,-0.013234,-19.849899,-4.792986,-42.019135,-89.974298,-14.755031,-0.295426,Sitting
69,2021-02-15 13:50:25.014,0.063019,2.544708,9.596394,0.014938,-0.010702,-0.0146,-19.661444,-5.119986,-42.11322,-89.989269,-14.764191,-0.295201,Sitting
70,2021-02-15 13:50:25.064,0.066162,2.537823,9.560619,0.006802,0.005898,-0.003344,-19.841103,-5.066866,-41.841217,-89.977755,-14.813409,-0.310164,Sitting
71,2021-02-15 13:50:25.114,0.060325,2.569706,9.673783,-0.00432,0.002107,-0.008648,-19.946613,-5.049562,-41.935516,-90.008835,-14.83239,-0.329919,Sitting
72,2021-02-15 13:50:25.164,0.071701,2.508035,9.574839,0.035617,-0.002973,-0.02147,-19.950777,-5.030565,-41.927277,-90.032334,-14.801536,-0.326599,Sitting
73,2021-02-15 13:50:25.215,0.035776,2.576442,9.595496,-0.003395,0.011135,-0.003774,-19.945587,-5.086132,-42.143982,-90.021876,-14.893503,-0.348784,Sitting
74,2021-02-15 13:50:25.265,0.074994,2.577191,9.725875,0.025696,-0.017877,-0.031222,-19.874714,-5.138943,-41.793732,-90.038761,-14.865893,-0.375266,Sitting
75,2021-02-15 13:50:25.315,0.077988,2.485432,9.490415,0.010901,-0.00415,-0.008055,-19.960274,-5.255535,-41.865601,-90.021357,-14.898292,-0.382226,Sitting
76,2021-02-15 13:50:25.365,0.054786,2.681374,9.626332,0.013601,0.015728,-0.005102,-20.038513,-5.1224,-41.782013,-90.011102,-14.924704,-0.451573,Sitting
77,2021-02-15 13:50:25.415,0.104034,2.544259,9.599687,0.024234,-0.005414,-0.014558,-19.975313,-5.27807,-41.994873,-90.036648,-14.949604,-0.428761,Sitting
78,2021-02-15 13:50:25.466,0.048948,2.535877,9.534872,0.002056,0.004746,-0.003371,-20.039486,-5.238605,-42.075409,-90.04921,-14.984676,-0.458708,Sitting
79,2021-02-15 13:50:25.516,0.099244,2.568958,9.713451,0.017522,-0.001022,-0.009746,-20.081842,-5.124962,-41.798828,-90.053239,-15.033612,-0.463784,Sitting
80,2021-02-15 13:50:25.566,0.084125,2.586172,9.540411,-0.00591,-0.008464,-0.009156,-20.186762,-5.104557,-41.792938,-90.088289,-15.012249,-0.505366,Sitting
81,2021-02-15 13:50:25.616,0.119003,2.573598,9.731114,0.038629,0.008025,-0.013782,-20.166855,-5.102192,-41.683838,-90.094994,-15.03745,-0.519732,Sitting
82,2021-02-15 13:50:25.667,0.082628,2.620301,9.470955,0.005984,-0.000444,-0.010086,-20.207817,-5.203262,-41.814392,-90.112074,-15.025292,-0.540134,Sitting
83,2021-02-15 13:50:25.717,0.074545,2.624642,9.662557,0.009098,-0.008836,-0.004918,-20.03664,-5.333561,-41.764587,-90.106039,-15.105338,-0.557985,Sitting
84,2021-02-15 13:50:25.767,0.136516,2.600093,9.56496,-0.000298,0.01575,-0.011342,-20.069359,-5.202663,-41.865234,-90.107886,-15.090807,-0.575699,Sitting
85,2021-02-15 13:50:25.817,0.12005,2.587669,9.606274,0.019072,0.000627,-0.016373,-19.998493,-5.35318,-41.892517,-90.118208,-15.102356,-0.590316,Sitting
86,2021-02-15 13:50:25.867,0.045505,2.623145,9.589059,-0.001427,0.003461,-0.000519,-20.040174,-5.489792,-41.730164,-90.118177,-15.143383,-0.599992,Sitting
87,2021-02-15 13:50:25.918,0.142504,2.591112,9.622739,0.028062,0.001479,-0.01098,-20.117315,-5.295506,-41.946991,-90.12555,-15.140169,-0.609988,Sitting
88,2021-02-15 13:50:25.968,0.1202,2.611918,9.560619,-0.004818,0.008729,-0.010205,-20.111023,-5.255373,-41.640747,-90.148005,-15.192245,-0.62645,Sitting
89,2021-02-15 13:50:26.018,0.070204,2.642305,9.562115,0.002607,0.002003,-0.008566,-20.203844,-5.218214,-41.905914,-90.172713,-15.182807,-0.623026,Sitting
90,2021-02-15 13:50:26.068,0.111219,2.644401,9.639804,0.000101,0.016084,-0.006501,-20.069284,-5.356335,-41.625519,-90.157053,-15.186142,-0.644888,Sitting
91,2021-02-15 13:50:26.118,0.087119,2.647544,9.563463,0.015962,0.010012,-0.007051,-20.174536,-5.303684,-41.744385,-90.18649,-15.158577,-0.646216,Sitting
92,2021-02-15 13:50:26.169,0.088017,2.585723,9.562565,-0.006169,-0.000832,-0.007558,-20.000713,-5.517788,-42.00473,-90.177223,-15.208582,-0.62154,Sitting
93,2021-02-15 13:50:26.219,0.139061,2.588866,9.649833,-2.9e-05,0.004343,-0.020047,-20.218184,-5.27,-41.869385,-90.212794,-15.215078,-0.65542,Sitting
